"locality_id","sensor_name","height","datetime","time_to","value","year","month"
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2022-07-01,2022-08-01,NA,2022,7
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2022-08-01,2022-09-01,5.29796706989247,2022,8
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2022-09-01,2022-10-01,2.91282552083333,2022,9
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2022-10-01,2022-11-01,-0.636676747311828,2022,10
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2022-11-01,2022-12-01,-3.70503472222222,2022,11
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2022-12-01,2023-01-01,-12.2098454301075,2022,12
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2023-01-01,2023-02-01,-11.5008190524194,2023,1
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2023-02-01,2023-03-01,-13.072498139881,2023,2
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2023-03-01,2023-04-01,-12.7120295698925,2023,3
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2023-04-01,2023-05-01,-10.8872178819444,2023,4
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2023-05-01,2023-06-01,-5.03755040322581,2023,5
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2023-06-01,2023-07-01,3.62699652777778,2023,6
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2023-07-01,2023-08-01,9.94352738575269,2023,7
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2023-08-01,2023-09-01,NA,2023,8
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2023-09-01,2023-10-01,2.61015625,2023,9
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2023-10-01,2023-11-01,-0.274403561827957,2023,10
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2023-11-01,2023-12-01,-2.35451388888889,2023,11
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2023-12-01,2024-01-01,-8.47442036290323,2023,12
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2024-01-01,2024-02-01,-16.0616389448925,2024,1
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2024-02-01,2024-03-01,-13.5119207974138,2024,2
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2024-03-01,2024-04-01,-14.4144825268817,2024,3
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2024-04-01,2024-05-01,-10.1136935763889,2024,4
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2024-05-01,2024-06-01,-5.96774193548387,2024,5
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2024-06-01,2024-07-01,0.231901041666667,2024,6
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2024-07-01,2024-08-01,4.75819052419355,2024,7
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2024-08-01,2024-09-01,NA,2024,8
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2024-09-01,2024-10-01,2.42999131944444,2024,9
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2024-10-01,2024-11-01,-0.270035282258065,2024,10
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2024-11-01,2024-12-01,-4.21625434027778,2024,11
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2024-12-01,2025-01-01,-11.3791792674731,2024,12
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2025-01-01,2025-02-01,-13.7289776545699,2025,1
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2025-02-01,2025-03-01,-15.6817103794643,2025,2
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2025-03-01,2025-04-01,-16.7432165658602,2025,3
"TOMST_01_QHI","TMS_T1_mean","soil 8 cm",2025-04-01,2025-05-01,-10.2851128472222,2025,4
